"Gene","HUVEC_low1","HUVEC_low2","HUVEC_low3","HUVEC_high1","HUVEC_high2","HUVEC_high3","HUVEC_high4","HUAEC_low1","HUAEC_low2","HUAEC_low3","HUAEC_low4","HUAEC_high1","HUAEC_high2","HUAEC_high3","HUAEC_high4"
"ENSG00000011021.24",4,0,21,7,0,12,1,6,41,22,21,5,4,25,21
"ENSG00000011028.14",41,4,1,12,0,6,6,31,18,33,15,15,0,24,21
"ENSG00000011105.15",15,4,8,15,13,25,21,18,54,49,24,18,1,21,13
"ENSG00000011114.15",10,8,2,2,4,1,1,2,10,14,2,4,1,10,1
"ENSG00000011132.13",0,6,0,9,7,1,1,0,1,11,2,1,0,9,2
"ENSG00000011143.20",22,2,0,1,2,4,3,17,2,11,1,3,0,1,1
"ENSG00000011198.11",29,0,10,43,29,19,17,30,1,9,7,11,1,21,23
"ENSG00000011201.12",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"ENSG00000011243.20",0,4,0,1,0,13,0,1,9,1,19,9,0,1,0
"ENSG00000011258.16",0,0,0,1,6,4,0,0,11,10,10,1,0,0,1
"ENSG00000011260.15",7,30,4,8,21,19,12,17,45,52,10,12,1,14,17
"ENSG00000011275.19",13,4,10,25,6,19,4,8,18,8,24,13,0,4,9
"ENSG00000011295.17",8,8,0,28,15,36,13,16,8,28,23,24,0,0,20
"ENSG00000011304.23",338,247,180,500,307,501,277,272,472,428,400,358,71,382,210
"ENSG00000011332.22",0,0,0,0,0,0,0,0,1,0,1,1,0,0,0
"ENSG00000011347.10",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"ENSG00000011376.13",24,20,13,34,28,13,17,0,0,17,17,30,0,8,8
"ENSG00000011405.15",50,30,12,14,25,16,12,14,74,27,45,25,1,27,23
"ENSG00000011422.13",39,34,5,110,54,77,8,66,88,69,58,48,3,74,69
"ENSG00000011426.12",47,32,27,44,38,36,31,9,21,42,24,21,0,4,12
"ENSG00000011451.22",12,10,22,15,54,26,30,52,54,42,42,24,1,15,17
"ENSG00000011454.19",4,6,10,2,14,5,17,12,17,21,9,7,1,9,18
"ENSG00000011465.18",1,0,0,0,8,1,0,0,0,0,0,0,0,0,0
"ENSG00000011478.13",7,0,27,27,12,28,8,63,57,42,29,28,0,31,10
"ENSG00000011485.16",27,20,15,27,34,23,33,32,19,42,26,25,0,27,14
"ENSG00000011523.16",24,10,18,52,39,89,24,38,57,64,62,19,12,41,29
"ENSG00000011566.16",6,0,2,0,6,0,0,1,6,0,24,9,0,0,1
"ENSG00000011590.14",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"ENSG00000011638.12",16,60,24,29,42,19,14,10,45,29,30,62,0,55,0
"ENSG00000012048.27",38,19,22,84,12,11,45,25,48,66,5,4,0,47,10
"ENSG00000012061.18",47,80,30,77,38,141,34,132,160,168,165,109,21,107,89
"ENSG00000012124.17",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"ENSG00000012171.21",0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
"ENSG00000012174.13",2,1,0,13,7,11,9,8,26,15,16,19,8,8,23
"ENSG00000012211.14",1,0,0,1,1,3,3,0,4,0,3,2,0,6,1
"ENSG00000012232.11",62,24,17,48,60,72,54,60,91,114,72,48,1,40,50
"ENSG00000012660.15",74,75,38,109,86,129,86,147,177,159,163,125,11,143,113
"ENSG00000012817.17",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"ENSG00000012822.17",23,24,10,34,24,18,7,10,42,39,26,23,1,26,18
"ENSG00000012963.15",5,7,1,13,5,12,1,3,7,16,5,1,0,1,7
"ENSG00000012983.13",15,0,20,24,23,23,9,21,45,15,30,13,0,20,3
"ENSG00000013016.16",0,2,0,1,1,1,0,3,1,6,3,0,0,1,4
"ENSG00000013275.8",79,102,60,179,152,125,85,80,134,184,164,103,20,99,100
"ENSG00000013288.10",20,8,18,6,6,18,6,9,0,24,9,15,6,12,17
"ENSG00000013297.13",273,141,125,288,247,168,201,154,360,312,215,199,23,181,131
"ENSG00000013306.17",92,77,92,115,122,154,73,152,249,256,132,134,8,133,70
"ENSG00000013374.18",24,59,30,72,83,69,50,67,77,72,87,85,22,84,15
